Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
Dora Factory - Seed,Seed,2021-03-01T00:00:00.000Z,Signum Capital/CMS Holdings/Fundamental Labs/LongHash Ventures/PAKA/Gate.io/Lotus Capital/The LAO/DuckDAO,none,none,Open DAO-as-a-Service infrastructure for on-chain governance and open source ventures,Steve Ngok,https://hackerlink.io/en,Dora Factory,Infrastructure,Tooling/DAO,none,none
Matter Labs - Seed,Seed,2021-03-01T00:00:00.000Z,Placeholder/1kx/Coinbase Ventures/Curve/Aave/Dragonfly Capital/Union Square Ventures,none,none,Ethereum L2 scaling solution with UX-centric zkRollup,Alex Gluchowski,https://matter-labs.io/,Matter Labs,Infrastructure,Layer 2,https://medium.com/matter-labs/leading-defi-projects-and-exchanges-invest-to-bring-solidity-to-zksync-9a3df978f824,none
Sovryn - Series A,Series A,2021-03-03T00:00:00.000Z,none,10000000,none,Decentralized Bitcoin trading and lending platform,Edan Yago,https://sovryn.app/,Sovryn,DeFi,Trading/Lending/Borrowing/DeFi - BTC,https://www.theblockcrypto.com/linked/96931/bitcoin-based-defi-protocol-sovryn-raises-10-million-token-sale?utm_source=coinmarketcap&utm_medium=rss,none
TaxBit - Series A,Series A,2021-03-02T00:00:00.000Z,Paradigm,100000000,none,Cryptocurrency tax automation firm,Austin Woodward,https://taxbit.com/,TaxBit,CeFi,Tax,none,none
Tidal Finance - Seed,Seed,2021-03-02T00:00:00.000Z,Hypersphere Ventures/QCP Capital,1800000,none,Customizable smart contract cover marketplace for the Polkadot ecosytem,Chad Liu,https://www.tidal.finance/,Tidal Finance,DeFi,Smart contracts,none,none
Komainu - Series A,Series A,2021-03-09T00:00:00.000Z,Alan Howard/Galaxy Digital/NOIA Capital,25000000,none,Crypto custody services and digital asset prime broker,Henson Orser,https://www.komainu.com/,Komainu,CeFi,Custody,none,none
Kine Protocol - Strategic,Strategic,2021-03-10T00:00:00.000Z,Krypital Group/OKEX/Blockchain Capital/CMS Holdings/Ascensive Assets/Bixin Ventures/DeFi Alliance/Origin Capital/Honglian Capital,7000000,none,"A fast, transparent, and effortless way to trade derivatives on Ethereum",Lei Wang,https://kine.io/,Kine Protocol,DeFi,Trading/Derivatives,none,none
Compass - Seed,Seed,2021-03-03T00:00:00.000Z,Galaxy Digital/CMT Digital/CoinFund/Rarestone Capital,1900000,none,"Bitcoin-first company on a mission to support the decentralized growth of hashrate and strengthen network security by helping more people learn, explore and mine Bitcoin",Whit Gibbs/Thomas Heller/Paul Gosker,https://compassmining.io/,Compass,Infrastructure,Mining,none,none
PolkaFoundry - Seed,Seed,2021-03-22T00:00:00.000Z,Signum Capital/Rarestone Capital/Magnus Capital,1900000,none,One-stop production hub for DeFi apps on Polkadot,Thi Truong,https://polkafoundry.com/,PolkaFoundry,DeFi,Tooling,none,none
SIREN - Seed,Seed,2021-03-01T00:00:00.000Z,1kx/Robot Ventures/Mechanism Capital/CMS Holdings/Edward Moncada/Rockaway Blockchain Fund/Jack Herrick/Santiago R. Santos,4000000,none,"A distributed protocol for creating, trading, and redeeming fully-collateralized options contracts for any ERC-20 token on Ethereum",Anonymous,https://sirenmarkets.com/,SIREN,DeFi,Trading/Options/Lending/Borrowing,none,none
Anyhedge - Seed,Seed,2021-03-01T00:00:00.000Z,Roger Ver,3000000,none,Non-custodial derivatives with no counterparty risk,none,https://anyhedge.com/,Anyhedge,DeFi,Derivatives,none,none
Konomi - Strategic,Strategic,2021-03-02T00:00:00.000Z,LD Capital/AU21 Capital/Altonomy,5000000,none,Decentralised liquidity and money market protocol on Polkadot,Jayden Antonio,https://www.konomi.network/#/,Konomi,DeFi,AMM/Liquidity,none,none
Fantom Foundation - Strategic,Strategic,2021-03-02T00:00:00.000Z,Blocktower Capital,20000000,none,Fast and scalable next-gen Layer-1 platform,Michael Kong,https://fantom.foundation/,Fantom Foundation,Infrastructure,Layer 1/Smart contracts,none,none
Eco - Series A,Series A,2021-03-05T00:00:00.000Z,Founders Fund/Slow Ventures/Coinbase Ventures,26000000,none,"Simple balancer that lets users spend, send, save and make money at the same time",Eric Feldman/Garrett Camp/Joey Krug/Ryne Saxe,https://www.eco.com/,Eco,CeFi,Banking,none,none
Saffron Finance - Strategic,Strategic,2021-03-08T00:00:00.000Z,Multicoin Capital/Coinbase Ventures/Tally Capital,2000000,none,Asset collateralization and customized risk protocol for DeFi,none,https://saffron.finance/,Saffron Finance,DeFi,Risk management,none,none
FalconX - Series B,Series B,2021-03-11T00:00:00.000Z,Accel/Coinbase Ventures/CMT Digital,50000000,none,A complete end-to-end institutional trading solution,Prabhakar Reddy/Raghu Yarlagadda,https://falconx.io/,FalconX,CeFi,Trading,none,none
Fei Protocol - Series A,Series A,2021-03-08T00:00:00.000Z,Coinbase Ventures/ParaFi Capital,19000000,none,"Decentralized, scalable and fair stablecoin built on Ethereum",Joey Santoro/Sebastian Delgado,https://fei.money/,Fei Protocol,DeFi,Stablecoins,https://www.coindesk.com/coinbase-naval-framework-ventures-19m-raise-fei-stablecoin,none
Convergence Finance - Seed,Seed,2021-03-09T00:00:00.000Z,Morningstar Ventures/Black Edge Capital/AU21 Capital,1500000,none,Platform to unlock the liquidity of real-world assets in DeFi,Ivan Yeung,https://conv.finance/,Convergence Finance,DeFi,Liquidity,none,none
Badger DAO - Treasury Diversification,Treasury Diversification,2021-03-04T00:00:00.000Z,Polychain Capital/ParaFi Capital/Blockchain Capital/0xb1,21000000,none,Building Products to Bring BTC to DeFi,Chris Spadafora,https://app.badger.finance/,Badger DAO,DeFi,DeFi - BTC,https://badgerdao.medium.com/badger-completes-21-million-dao-treasury-diversification-with-partners-0xb1-polychain-capital-e5fe20182b2e,none
Concordium - Strategic,Strategic,2021-03-09T00:00:00.000Z,ARK36,15000000,none,Regulatory-compliant PoS Blockchain with ID Layer at the protocol level,Lars Seier Christensen,https://concordium.com/,Concordium,Infrastructure,Layer 1,none,none
Shyft Network - Strategic,Strategic,2021-03-11T00:00:00.000Z,Morningstar Ventures/CoinFund/Blocktower Capital/Connect Capital/GSR/LD Capital/Digital Finance Group,none,none,Blockchain-based digital identity ecosystem that enables KYC/AML attested data transfers,Chris Forrester/Joseph Weinberg/Kris Coward,https://www.shyft.network/,Shyft Network,Infrastructure,Data,none,none
BlockFi - Series D,Series D,2021-03-11T00:00:00.000Z,Bain Capital Ventures/Paradigm/ParaFi Capital/Jump Capital/Kenetic/CMS Holdings/Castle Island Ventures,350000000,none,Secured non-bank lender that offers cryptoasset-backed USD loans to cryptoasset owners,Zac Prince,https://blockfi.com/,BlockFi,CeFi,Banking/Lending/Borrowing,https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/,none
Shadows Network - Strategic,Strategic,2021-03-01T00:00:00.000Z,Candaq/NGC Ventures/AU21 Capital/DuckDAO,1650000,none,"A hub for issuing, trading, lending and borrowing synthetic assets",Ted Shao,https://www.shadows.link/,Shadows Network,DeFi,Trading/Lending/Borrowing,none,none
MobileCoin - Series A,Series A,2021-03-09T00:00:00.000Z,General Catalyst,11300000,none,Secure payment systems for mobile,Joshua Goldbard,https://www.mobilecoin.com/,MobileCoin,Web3,Payment/Mobile,none,none
Key Tango - Strategic,Strategic,2021-03-12T00:00:00.000Z,none,none,none,"Platform for retail investors to discover, learn and invest in deep DeFi",Dan Danay,https://www.keytango.io/,Key Tango,DeFi,Education,none,none
Idavoll Network - Seed,Seed,2021-02-25T00:00:00.000Z,Gate.io/Chain Capital/ZBS Capital,1000000,none,Decentralized organization platform that provides infrastructure and services to users of the Idavoll Network and Polkadot ParaChains,Alina Aseeva,https://idavoll.network/,Idavoll Network,Infrastructure,Tooling,none,none
Fusible - Seed,Seed,2021-02-26T00:00:00.000Z,Magnus Capital,720000,none,Price discovery protocol for NFTs,Prashant Kale/Santosh,https://fusible.io/,Fusible,NFTs,Price discovery,none,none
CoinSmart - Seed,Seed,2021-03-01T00:00:00.000Z,none,3500000,none,Crypto trading app,Justin Hartzman,https://www.coinsmart.com/,CoinSmart,CeFi,Trading,none,none
BSC.tools - Seed,Seed,2021-03-05T00:00:00.000Z,AU21 Capital/Black Edge Capital,2600000,none,Developing features to supercharge the trading experience on the Binance Smart Chain,none,https://bsc.tools/,BSC.tools,Infrastructure,Trading,none,none
MobiFi - Seed,Seed,2021-03-05T00:00:00.000Z,ExNetwork Capital/Gains/Coach K/Propeller Fund/X21 Digital/Nextgen,2600000,none,Financial system orchestrator for Mobility as a Services (MaaS),Yudi Xu,https://mobifi.io/,MobiFi,Web3,Mobility,none,none
Polkadex - Seed,Seed,2021-03-04T00:00:00.000Z,LD Capital/AU21 Capital/OKEX/Kenetic/QCP Capital/Outlier Ventures,3000000,none,"A decentralized, peer-peer, order book based cryptocurrency exchange built on substrate",Gautham J,https://www.polkadex.trade/,Polkadex,DeFi,Exchange,none,none
Nftfi - Seed,Seed,2021-02-26T00:00:00.000Z,CoinFund/Akx Capital/Collab+Currency/The LAO,900000,none,"A simple marketplace for NFT collaterized loans. Put your NFTs up as collateral for a loan, or offer loans to other users.",Stephen Young,https://nftfi.com/,Nftfi,NFTs,Marketplace/DeFi - NFTs,none,none
Playcent - Seed,Seed,2021-02-26T00:00:00.000Z,none,1000000,none,"Decentralized Wix for dapps, games, NFTs and Social tokens",Sandeep Sudagani,https://playcent.com/,Playcent,Infrastructure,Tooling/Social token/Gaming,none,none
